AB_School_Number,School_Name,Address,Postal_Code,Phone_Number,Email,Website,Grade_Level_A,Grade_Level_B,Grade_Level_C,Fench_Immersion,Spanish_Bilingual,Latitude,Longitude,School_Type
7209,Mayfield,10950 159 Street NW,T5P3C1,7804895100,mayfield@epsb.ca,http://mayfield.epsb.ca,Elementary,,,FALSE,FALSE,53.5548148,-113.5944449,Public
7126,Glenora,13520 102 Avenue NW,T5N0N7,7804524740,glenora@epsb.ca,http://glenora.epsb.ca,Elementary,,,FALSE,FALSE,53.543068,-113.5554184,Public
1456,Dr. Donald Massey,5435 162 Avenue NW,T5Y0E8,7804575435,donaldmassey@epsb.ca,http://donaldmassey.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.6236682,-113.4220116,Public
1577,Bessie Nichols,189 Hemingway Road NW,T6M2Z7,7804441922,bessienichols@epsb.ca,http://bessienichols.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.4870968,-113.6717167,Public
7702,L. Y. Cairns,10510 45 Avenue NW,T6H0A1,7804349561,lycairns@epsb.ca,http://lycairns.epsb.ca,Junior,Senior,,FALSE,FALSE,53.4829729,-113.4989897,Public
7121,Dovercourt,13910 122 Avenue NW,T5L2W3,7804556171,dovercourt@epsb.ca,http://dovercourt.epsb.ca,Elementary,,,FALSE,FALSE,53.5733168,-113.5613362,Public
7772,Tevie Miller Heritage,6240 113 Street NW,T6H3L2,7804360465,heritage@epsb.ca,http://teviemillerheritage.epsb.ca,Special,,,FALSE,FALSE,53.5009217,-113.5234108,Public
7063,M. E. LaZerte,6804 144 Avenue NW,T5C3C7,7804089800,melazerte@epsb.ca,http://melazerte.com,Senior,,,FALSE,FALSE,53.6050612,-113.4467016,Public
7247,Baturyn,10603 172 Avenue NW,T5X4X4,7804566727,baturyn@epsb.ca,http://baturyn.epsb.ca,Elementary,,,FALSE,FALSE,53.6334221,-113.506254,Public
7164,Queen Alexandra,7730 106 Street NW,T6E4W3,7804392516,queenalexandra@epsb.ca,http://queenalexandra.epsb.ca,Elementary,,,FALSE,FALSE,53.5133161,-113.5036011,Public
7194,Delwood,7315 Delwood Road NW,T5C3A9,7804763969,delwood@epsb.ca,http://delwood.epsb.ca,Elementary,,,TRUE,FALSE,53.5968164,-113.4541595,Public
7513,Highlands,11509 62 Street NW,T5W4C2,7804794206,highlands@epsb.ca,http://highlands.epsb.ca,Junior,,,FALSE,FALSE,53.5696606,-113.4359667,Public
7153,Mount Royal,11303 55 Street NW,T5W3P6,7804778202,mountroyal@epsb.ca,http://mountroyalvirginiapark.epsb.ca,Elementary,,,FALSE,FALSE,53.5688605,-113.4261183,Public
7246,Dunluce,11735 162 Avenue NW,T5X4M6,7804569080,dunluce@epsb.ca,http://dunluce.epsb.ca,Elementary,,,TRUE,FALSE,53.622764,-113.5268285,Public
7189,Waverley,6825 89 Avenue NW,T6B0N3,7804696682,waverley@epsb.ca,http://waverley.epsb.ca,Elementary,,,FALSE,FALSE,53.5242543,-113.4325504,Public
7236,Belmead,9011 182 Street NW,T5T2Y9,7804813314,belmead@epsb.ca,http://belmead.epsb.ca,Elementary,,,FALSE,FALSE,53.5251094,-113.6386863,Public
7501,Avonmore,7835 76 Avenue NW,T6C2N1,7804662976,avonmore@epsb.ca,http://avonmore.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.5122551,-113.4492842,Public
7146,Brookside,5504 143 Street NW,T6H4E5,7804340464,brookside@epsb.ca,http://brookside.epsb.ca,Elementary,,,FALSE,FALSE,53.4932262,-113.5667897,Public
7543,Westminster,13712 104 Avenue NW,T5N0W4,7804524343,westminster@epsb.ca,http://westminster.epsb.ca,Junior,,,FALSE,FALSE,53.5462143,-113.5580889,Public
7109,Belvedere,13359 62 Street NW,T5A0V5,7804762022,belvedere@epsb.ca,http://belvedere.epsb.ca,Elementary,,,FALSE,FALSE,53.5948093,-113.4366618,Public
7545,Westlawn,9520 165 Street NW,T5P3S4,7804843456,westlawn@epsb.ca,http://westlawn.epsb.ca,Junior,,,FALSE,FALSE,53.5319061,-113.6072838,Public
1459,Elizabeth Finch,13815 160 Avenue NW,T6V0C9,7804572022,elizabethfinch@epsb.ca,http://elizabethfinch.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.621328,-113.555632,Public
7274,Minchau,3615 Mill Woods Road East NW,T6L5X2,7804610616,minchau@epsb.ca,http://minchau.epsb.ca,Elementary,,,FALSE,FALSE,53.469572,-113.361796,Public
7233,Ekota,1395 Knottwood Road East NW,T6K2P5,7804625112,ekota@epsb.ca,http://ekota.epsb.ca,Elementary,,,FALSE,FALSE,53.4478399,-113.4410639,Public
7262,Kirkness,610 Kirkness Road NW,T5Y2K4,7804735924,kirkness@epsb.ca,http://kirkness.epsb.ca,Elementary,,,FALSE,FALSE,53.6107187,-113.3867388,Public
7557,Vernon Barford,32 Fairway Drive NW,T6J2C1,7804132211,vbarford@epsb.ca,http://vbarford.epsb.ca,Junior,,,FALSE,FALSE,53.472987,-113.5428421,Public
7552,Hillcrest,16400 80 Avenue NW,T5R3M6,7804892516,hillcrest@epsb.ca,http://hillcrest.epsb.ca,Junior,,,FALSE,FALSE,53.5137568,-113.6060044,Public
7537,Spruce Avenue,11424 102 Street NW,T5G2E7,7804790155,spruceave@epsb.ca,http://spruceavenue.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.5657191,-113.4955783,Public
7226,Brander Gardens,14865 56 Avenue NW,T6H5G2,7804366740,brander@epsb.ca,http://brandergardens.epsb.ca,Elementary,,,TRUE,FALSE,53.493484,-113.577079,Public
7248,Ormsby,6323 184 Street NW,T5T3K1,7804814646,ormsby@epsb.ca,http://ormsby.epsb.ca,Elementary,,,,,53.4979542,-113.6396861,Public
7265,Weinlos,2911 48 Street NW,T6L5T7,7804625261,weinlos@epsb.ca,http://weinlos.epsb.ca,Elementary,,,FALSE,FALSE,53.4608956,-113.4167565,Public
7123,Forest Heights,10304 81 Street NW,T6A3X4,7804660312,forest@epsb.ca,http://forestheights.epsb.ca,Elementary,,,FALSE,FALSE,53.5460705,-113.4525005,Public
7255,Hillview,355 Woodvale Road East NW,T6L5C3,7804638108,hillview@epsb.ca,http://hillview.epsb.ca,Elementary,,,FALSE,FALSE,53.4682397,-113.4251154,Public
7281,Michael A. Kostek,5303 190 Street NW,T6M2L2,7804897277,makostek@epsb.ca,http://makostek.epsb.ca,Elementary,,,FALSE,FALSE,53.4896687,-113.6513786,Public
7229,Overlanders,1150 Hermitage Road NW,T5A4L4,7804763361,overlanders@epsb.ca,http://overlanders.epsb.ca,Elementary,,,FALSE,FALSE,53.5809338,-113.3893858,Public
7182,Windsor Park,8720 118 Street NW,T6G1T5,7804333924,windsor@epsb.ca,http://windsorpark.epsb.ca,Elementary,,,FALSE,FALSE,53.5243105,-113.534317,Public
7516,Killarney,13110 91 Street NW,T5E3P6,7804751737,killarney@epsb.ca,http://killarney.epsb.ca,Junior,,,FALSE,FALSE,53.5908711,-113.4812752,Public
7200,McLeod,14807 59 Street NW,T5A1Y3,7804782927,mcleod@epsb.ca,http://mcleod.epsb.ca,Elementary,,,FALSE,FALSE,53.6105456,-113.4319221,Public
7204,Elmwood,16325 83 Avenue NW,T5R3V8,7804896749,elmwood@epsb.ca,http://elmwood.epsb.ca,Elementary,,,FALSE,FALSE,53.5168424,-113.6045737,Public
7237,Callingwood,17335 76 Avenue NW,T5T2B1,7804870727,callingwood@epsb.ca,http://callingwood.epsb.ca,Elementary,,,FALSE,FALSE,53.5091213,-113.6229649,Public
7184,Glengarry,9211 135 Avenue NW,T5E1N7,7804765373,glengarry@epsb.ca,http://glengarry.epsb.ca,Elementary,,,FALSE,FALSE,53.596778,-113.4852122,Public
7224,Lee Ridge,440 Millbourne Road East NW,T6K1Y8,7804623230,leeridge@epsb.ca,http://leeridge.epsb.ca,Elementary,,,FALSE,FALSE,53.4710969,-113.4438084,Public
7137,Kensington,13410 119 Street NW,T5E5N1,7804551836,kensington@epsb.ca,http://kensington.epsb.ca,Elementary,,,FALSE,FALSE,53.5950887,-113.5268502,Public
1455,Johnny Bright,1331 Rutherford Road SW,T6W1P4,7804371341,johnnybright@epsb.ca,http://johnnybright.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.4191422,-113.536314,Public
7066,Old Scona,10523 84 Avenue NW,T6E2H5,7804330627,oldscona@epsb.ca,http://oldscona.epsb.ca,Senior,,,FALSE,FALSE,53.5200347,-113.5011332,Public
7504,Brightview,15425 106 Avenue NW,T5P0W3,7804846631,brightview@epsb.ca,http://brightview.epsb.ca,Elementary,,,FALSE,FALSE,53.5494993,-113.5872841,Public
7197,Westbrook,11915 40 Avenue NW,T6J0S1,7804384200,westbrook@epsb.ca,http://westbrook.epsb.ca,Elementary,,,FALSE,FALSE,53.4763428,-113.5398337,Public
7534,Londonderry,7104 144 Avenue NW,T5C2R4,7804734560,londonderry@epsb.ca,http://londonderry.epsb.ca,Junior,,,FALSE,FALSE,53.6056976,-113.4497791,Public
7186,Malmo,4716 115 Street NW,T6H3N8,7804341362,malmo@epsb.ca,http://malmo.epsb.ca,Elementary,,,FALSE,FALSE,53.4847916,-113.5288214,Public
7054,Strathcona,10450 72 Avenue NW,T6E0Z6,7804393957,strathcona@epsb.ca,http://strathconaschool.ca,Senior,,,FALSE,FALSE,53.5083781,-113.5015177,Public
7210,Meadowlark,9150 160 Street NW,T5R2J2,7804895200,meadowlark@epsb.ca,http://meadowlark.epsb.ca,Elementary,,,FALSE,FALSE,53.5258217,-113.5946337,Public
7280,Velma E. Baker,2845 43A Avenue NW,T6T1J9,7804404088,vebaker@epsb.ca,http://velmaebaker.epsb.ca,Elementary,,,FALSE,FALSE,53.4801759,-113.3878124,Public
7514,Holyrood,7920 94 Avenue NW,T6C1W5,7804662292,holyrood@epsb.ca,http://holyrood.epsb.ca,Elementary,,,TRUE,FALSE,53.530498,-113.448682,Public
7214,John Barnett,14840 72 Street NW,T5C3E5,7804781351,jbarnett@epsb.ca,http://johnbarnett.epsb.ca,Elementary,,,FALSE,FALSE,53.6096121,-113.4491042,Public
7216,Thorncliffe,8215 175 Street NW,T5T0G9,7804872061,thorncliffe@epsb.ca,http://thorncliffe.epsb.ca,Elementary,,,FALSE,FALSE,53.5156687,-113.6232272,Public
1283,Edmonton Christian West,14345 McQueen Road NW,T5N3L5,7804087948,ecswest@epsb.ca,http://www.edmchristian.org,Elementary,Junior,,FALSE,FALSE,53.5562144,-113.5668353,Public
1578,Michael Strembitsky,4110 Savaryn Drive SW,T6X0Z5,7803923500,michaelstrembitsky@epsb.ca,http://michaelstrembitsky.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.4137181,-113.4616832,Public
7517,King Edward,8530 101 Street NW,T6E3Z5,7804392491,kingedward@epsb.ca,http://kingedward.epsb.ca,Elementary,,,FALSE,FALSE,53.5212285,-113.491287,Public
7228,Belmont,3310 132A Avenue NW,T5A3T1,7804769590,belmont@epsb.ca,http://belmont.epsb.ca,Elementary,,,FALSE,FALSE,53.5928479,-113.3931517,Public
7500,Allendale,6415 106 Street NW,T6H2V5,7804346756,allendale@epsb.ca,http://allendale.epsb.ca,Junior,,,FALSE,FALSE,53.5012046,-113.5043896,Public
7503,Crestwood,9735 144 Street NW,T5N2T3,7804524525,crestwood@epsb.ca,http://crestwood.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.5333071,-113.5708464,Public
7180,Lansdowne,12323 51 Avenue NW,T6H0M6,7804343160,lansdowne@epsb.ca,http://lansdowne.epsb.ca,Elementary,,,FALSE,FALSE,53.4881726,-113.5437449,Public
7150,Mill Creek,9735 80 Avenue NW,T6E1S8,7804335746,millcreek@epsb.ca,http://millcreek.epsb.ca,Elementary,,,FALSE,FALSE,53.5160974,-113.480806,Public
7553,Stratford,8715 153 Street NW,T5R1P1,7804843381,stratford@epsb.ca,http://stratford.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.5210242,-113.5850331,Public
7257,Meyokumin,5703 19A Avenue NW,T6L4J8,7804638409,meyokumin@epsb.ca,http://meyokumin.epsb.ca,Elementary,,,FALSE,FALSE,53.4506982,-113.428163,Public
7188,J. A. Fife,15004 76 Street NW,T5C1C2,7804760775,jafife@epsb.ca,http://jafife.epsb.ca,Elementary,,,TRUE,FALSE,53.6119509,-113.4602053,Public
7143,McArthur,13535 134 Street NW,T5L1W3,7804552728,mcarthur@epsb.ca,http://mcarthur.epsb.ca,Elementary,,,FALSE,FALSE,53.5968849,-113.5519157,Public
7132,Hazeldean,6715 97 Street NW,T6E3J9,7804337583,hazeldean@epsb.ca,http://hazeldean.epsb.ca,Elementary,,,FALSE,FALSE,53.5040451,-113.4794594,Public
7234,Aldergrove,8525 182 Street NW,T5T1X1,7804875182,aldergrove@epsb.ca,http://aldergrove.epsb.ca,Elementary,,,FALSE,FALSE,53.519264,-113.6369477,Public
7136,Inglewood,11515 127 Street NW,T5M0V4,7804554673,inglewood@epsb.ca,http://inglewood.epsb.ca,Elementary,,,FALSE,FALSE,53.5655009,-113.5411485,Public
7191,Northmount,14020 88A Street NW,T5E3J4,7804755162,northmount@epsb.ca,http://northmount.epsb.ca,Elementary,,,FALSE,FALSE,53.6031395,-113.4761547,Public
7138,Kildare,7525 144 Avenue NW,T5C2R8,7804765675,kildare@epsb.ca,http://kildare.epsb.ca,Elementary,,,FALSE,FALSE,53.6068494,-113.4570176,Public
7215,Evansdale,9303 150 Avenue NW,T5E2N7,7804763331,evansdale@epsb.ca,http://evansdale.epsb.ca,Elementary,,,FALSE,FALSE,53.6110192,-113.4835866,Public
7055,Victoria,10210 108 Avenue NW,T5H1A8,7804263010,victoria@epsb.ca,http://victoria-school.ca,Elementary,Junior,Senior,FALSE,FALSE,53.5530222,-113.4957662,Public
7115,Coronation,10925 139 Street NW,T5M1P8,7804552008,coronation@epsb.ca,http://coronation.epsb.ca,Elementary,,,FALSE,FALSE,53.5552858,-113.5613474,Public
1004,George P. Nicholson,1120 113 Street NW,T6J7J4,7804399314,georgepnicholson@epsb.ca,http://georgepnicholson.epsb.ca,Elementary,,,FALSE,FALSE,53.4424401,-113.5247775,Public
7528,Ottewell,9435 73 Street NW,T6B2A9,7804667331,ottewell@epsb.ca,http://ottewell.epsb.ca,Junior,,,FALSE,FALSE,53.5317306,-113.4398956,Public
7106,Beacon Heights,4610 121 Avenue NW,T5W1M8,7804794038,beacon@epsb.ca,http://beaconheights.epsb.ca,Elementary,,,FALSE,FALSE,53.5751004,-113.4114756,Public
7502,Balwin,7055 132 Avenue NW,T5C2A7,7804753646,balwin@epsb.ca,http://balwin.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.592245,-113.4506246,Public
7518,Laurier Heights,8210 142 Street NW,T5R0L9,7804835352,laurierheights@epsb.ca,http://laurierheights.epsb.ca,Elementary,Junior,,TRUE,FALSE,53.5165591,-113.5657127,Public
7538,Riverbend,14820 53 Avenue NW,T6H4C6,7804347914,riverbend@epsb.ca,http://riverbend.epsb.ca,Junior,,,FALSE,FALSE,53.4904341,-113.5759613,Public
7100,Abbott,12045 34 Street NW,T5W1Z5,7804777310,abbott@epsb.ca,http://abbott.epsb.ca,Elementary,,,FALSE,FALSE,53.5746074,-113.3936641,Public
7253,Bannerman,14112 23 Street NW,T5Y2B9,7804787706,bannerman@epsb.ca,http://bannerman.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.6047928,-113.3778348,Public
7176,Patricia Heights,16216 78 Avenue NW,T5R3E6,7804870550,patriciaheights@epsb.ca,http://patheights.epsb.ca,Elementary,,,FALSE,FALSE,53.5105316,-113.6035049,Public
7201,Richard Secord,4025 117 Street NW,T6J1T4,7804369839,richardsecord@epsb.ca,http://richardsecord.epsb.ca,Elementary,,,TRUE,FALSE,53.4769991,-113.535137,Public
7207,James Gibbons - Stratford,8945 153 Street NW,T5R1P1,7804898020,jgibbons@epsb.ca,http://jgibbons.epsb.ca,Elementary,,,FALSE,FALSE,53.5227288,-113.5850545,Public
7532,Steele Heights,14607 59 Street NW,T5A1Y3,7804785319,steele@epsb.ca,http://steeleht.epsb.ca,Junior,,,FALSE,FALSE,53.609352,-113.4319263,Public
7213,Youngstown,10330 163 Street NW,T5P3N5,7804894600,youngstown@epsb.ca,http://youngstown.epsb.ca,Elementary,,,FALSE,FALSE,53.5453648,-113.602657,Public
7050,Vimy Ridge Academy,8205 90 Avenue NW,T6C1N8,7804655461,vimyridge@epsb.ca,http://vimyridge.epsb.ca,Junior,Senior,,FALSE,FALSE,53.5251649,-113.4550876,Public
7156,Norwood,9520 111 Avenue NW,T5G0A6,7804771002,norwood@epsb.ca,http://norwood.epsb.ca,Elementary,,,FALSE,FALSE,53.559709,-113.4880879,Public
7057,W. P. Wagner,6310 Wagner Road NW,T6E4N5,7804691315,wpwagner@epsb.ca,http://wpwagner.epsb.ca,Senior,,,FALSE,FALSE,53.4993266,-113.4494627,Public
7193,Clara Tyner,9420 Ottewell Road NW,T6B2E2,7804695339,claratyner@epsb.ca,http://claratyner.epsb.ca,Elementary,,,FALSE,FALSE,53.5326154,-113.435817,Public
7264,Daly Grove,1888 37 Street NW,T6L2R2,7804501532,dalygrove@epsb.ca,http://dalygrove.epsb.ca,Elementary,,,FALSE,FALSE,53.4500991,-113.3990424,Public
7171,Scott Robertson,13515 107 Street NW,T5E4W3,7804753565,srobertson@epsb.ca,http://scottrobertson.epsb.ca,Elementary,,,FALSE,FALSE,53.5957914,-113.5050586,Public
7279,George H. Luck,300 Bulyea Road NW,T6R2L4,7804385011,georgehluck@epsb.ca,http://gluck.epsb.ca,Elementary,,,FALSE,FALSE,53.4734524,-113.5714021,Public
1457,Florence Hallock,16437 87 Street NW,T5Z3X1,7804781410,florencehallock@epsb.ca,http://florencehallock.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.627202,-113.474728,Public
