AB_SCHOOL_NUMBER,School_Name,Address,Postal_Code,Phone_Number,Email,Website,Grade_Level _A,Grade_Level _B,Grade_Level _C,French_Immersion,Spanish_Bilingual,Latitude,Longitude,School_Type,GRADES_OFFERED,LANGUAGE_PROGRAMS,ACADEMY_PROGRAMS,INTERNATIONAL_BACCALAUREATE,ADVANCED_PLACEMENT,FULL_DAY_KINDERGARTEN,INTERACTIONS
1970,St. Brendan,9260 58 ST NW,T6B 3W2,7804661281,1970web@ecsd.net,http://stbrendan.ecsd.net/,Elementary,Junior,,False,True,53.529481,-113.424949,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,Spanish Bilingual; Ukrainian Bilingual; Spanish Language and Culture,,0,0,1,0
8287,Cardinal Leger,8808 144 AVE NW,T5E 3G7,7804756262,8287web@ecsd.net,http://www.cardinalleger.ecsd.net,Junior,,,False,False,53.6065591,-113.4763083,Catholic,7; 8; 9,Italian Language and Culture,Enhanced Academic Program (EAP),0,0,0,0
8025,Father Michael Troy,3630 23 ST NW,T6T 1W7,7804711962,8025web@ecsd.net,http://www.fathermichaeltroy.ecsd.net,Junior,,,False,False,53.4721753,-113.3776866,Catholic,7; 8; 9,No Language Program,,0,0,0,0
8042,St. Anne,14105 94 ST NW,T5E 6B2,7804783288,8042web@ecsd.net,http://www.stanne.ecsd.net,Elementary,,,False,False,53.603873,-113.4852063,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8045,St. Timothy,14330 117 ST NW,T5X 1S6,7804567375,8045web@ecsd.net,https://www.ecsd.net/schools/8045/Pages/default.aspx,Elementary,,,False,False,53.6058245,-113.5241066,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8020,St. Dominic,5804 144 AVE NW,T5A 1K5,7804769906,8020web@ecsd.net,http://www.stdominic.ecsd.net,Elementary,,,False,False,53.6064661,-113.433171,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8237,St. Mary,490 RHATIGAN RD NW,T6R 2E2,7809886577,8237web@ecsd.net,https://www.ecsd.net/schools/8237/Pages/default.aspx,Elementary,,,False,False,53.475556,-113.5851541,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8200,J.J. Bowlen,6110 144 AVE NW,T5A 1K5,7804753730,8200web@ecsd.net,http://www.jjbowlen.ecsd.net,Junior,,,False,False,53.605272,-113.4364,Catholic,7; 8; 9,No Language Program,,0,0,0,0
8037,St. Philip,8720 144 AVE NW,T5E 3G7,7804753566,8037web@ecsd.net,https://www.ecsd.net/schools/8037/Pages/default.aspx,Elementary,,,False,False,53.6067707,-113.4747591,Catholic,K; 1; 2; 3; 4; 5; 6,Italian Language and Culture,,0,0,0,0
8405,St. Francis Xavier,9250 163 ST NW,T5R 0A7,7804892571,8405web@ecsd.net,http://www.stfrancisxavier.ecsd.net,Senior,,,False,False,53.5297893,-113.6034119,Catholic,10; 11; 12,Spanish Language and Culture,Baseball Academy; Golf Academy; Hockey Academy; Lacrosse Academy; Soccer Academy,0,1,0,0
8051,St. Teresa,11350 25 AVE NW,T6J 5B1,7804376022,8051web@ecsd.net,https://www.ecsd.net/schools/8051/Pages/default.aspx,Elementary,,,False,True,53.457387,-113.5270738,Catholic,K; 1; 2; 3; 4; 5; 6,Spanish Bilingual,,0,0,0,0
8001,Annunciation,9325 165 ST NW,T5R 2S5,7804844319,8001web@ecsd.net,https://www.ecsd.net/schools/8001/Pages/default.aspx,Elementary,,,False,False,53.5302343,-113.6065415,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,1,0,1,0
8047,St. Maria Goretti,4214 127 AVE NW,T5A 3K6,7804750158,8047web@ecsd.net,https://www.ecsd.net/schools/8047/Pages/default.aspx,Elementary,,,False,False,53.5855406,-113.4078483,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8214,Ben Calf Robe - St. Clare,11833 64 ST NW,T5W 4J2,7804712360,8214web@ecsd.net,https://www.ecsd.net/schools/8214/Pages/default.aspx,Elementary,Junior,,False,False,53.571454,-113.4391147,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,Nehiyaw Pimatisiwin Cree,,0,0,1,0
8230,St. Elizabeth Seton,3711 135 AVE NW,T5A 2V6,7804787751,8230web@ecsd.net,http://www.stelizabethseton.ecsd.net,Elementary,Junior,,False,False,53.5953623,-113.396972,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,Spanish Language and Culture,Enhanced Academic Program (EAP),0,0,1,0
8226,St. Pius X,12214 128 ST NW,T5L 1C5,7804533941,8226web@ecsd.net,https://www.ecsd.net/schools/8226/Pages/default.aspx,Elementary,,,False,False,53.5775229,-113.5434079,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8410,J.H. Picard,7055 99 ST NW,T6E 3R4,7804334251,8410web@ecsd.net,https://www.ecsd.net/schools/8410/Pages/default.aspx,Elementary,Junior,Senior,True,False,53.5074855,-113.4853819,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,French Immersion,,0,1,0,0
8205,Our Lady of Mount Carmel,10524 76 AVE NW,T6E 1L3,7804331062,8205web@ecsd.net,http://www.ourladyofmountcarmel.ecsd.net,Elementary,,,False,False,53.512758,-113.5014057,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,Hockey Academy; Recreation Academy; Soccer Academy; Elite Athletes Academy,0,0,1,0
8040,St. Justin,8405 175 ST NW,T5T 0G9,7804872264,8040web@ecsd.net,http://www.stjustin.ecsd.net,Elementary,,,False,False,53.51752,-113.6229303,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8236,Frere Antoine,2850 MILL WOODS RD NW,T6K 4A1,7804632957,8236web@ecsd.net,http://www.frereantoine.ecsd.net,Elementary,,,True,False,53.4597342,-113.4490807,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion,,0,0,0,0
8409,Louis St. Laurent,11230 43 AVE NW,T6J 0X8,7804353964,8409web@ecsd.net,http://www.louisstlaurent.ecsd.net,Junior,Senior,,False,False,53.4797364,-113.5224385,Catholic,7; 8; 9; 10; 11; 12,Spanish Bilingual; Spanish Language and Culture,Hockey Academy; Recreation Academy,0,0,0,0
8228,St. Thomas More,9610 165 ST NW,T5P 3S6,7804842434,8228web@ecsd.net,http://www.stthomasmore.ecsd.net,Junior,,,False,False,53.5335579,-113.6068029,Catholic,7; 8; 9,Spanish Language and Culture; Nehiyaw Pimatisiwin Cree,Baseball Academy; Hockey Academy; Soccer Academy; Elite Athletes Academy,1,0,0,0
8044,St. Hilda,7630 38 AVE NW,T6K 2N2,7804623195,8044web@ecsd.net,http://www.sthilda.ecsd.net,Junior,,,False,False,53.4737631,-113.4513608,Catholic,7; 8; 9,Spanish Language and Culture,Enhanced Academic Program (EAP),0,0,0,0
8048,Bishop Savaryn,16215 109 ST NW,T5X 2R2,7804567837,8048web@ecsd.net,http://www.bishopsavaryn.ecsd.net,Elementary,,,True,False,53.6220012,-113.508386,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion,,0,0,0,0
8212,St. Catherine,10915 110 ST NW,T5H 3E3,7804266933,8212web@ecsd.net,https://www.ecsd.net/schools/8212/Pages/default.aspx,Elementary,Junior,,False,False,53.5562182,-113.5098483,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,,0,0,1,0
8028,St. Martin,11310 51 AVE NW,T6H 0L7,7804344848,8028web@ecsd.net,http://www.stmartin.ecsd.net,Elementary,,,False,False,53.4887561,-113.5227512,Catholic,K; 1; 2; 3; 4; 5; 6,Ukrainian Bilingual,,0,0,0,0
2384,CCAC-Westmount,11625 125 ST NW,T5M 1L1,7804514719,8412web@ecsd.net,https://www.ecsd.net/8412/page/1846/cardinal-collins-catholic-academic-centres,Outreach,,,False,False,53.56760789,-113.5551916,Catholic,9; 10; 11; 12,No Language Program,,0,0,0,0
8058,Our Lady of the Prairies,17655 64 AVE NW,T5T 4A6,7804810389,8058web@ecsd.net,https://www.ecsd.net/schools/8058/Pages/default.aspx,Elementary,,,True,False,53.4996539,-113.6254916,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion,,0,0,1,0
8055,St. Lucy,11750 162 AVE NW,T5X 4L9,7804560053,8055web@ecsd.net,https://www.ecsd.net/schools/8055/Pages/default.aspx,Elementary,,,False,False,53.6232317,-113.5264738,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8026,Archbishop Joseph MacNeil,750 LEGER WAY NW,T6R 3H4,7804714218,8026web@ecsd.net,http://www.archbishopjosephmacneil.ecsd.net,Elementary,Junior,,False,False,53.4600272,-113.5770168,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,Spanish Language and Culture,Enhanced Academic Program (EAP),0,0,0,0
8043,Katherine Therrien,15040 118 ST NW,T5X 1Y7,7804560175,8043web@ecsd.net,https://www.ecsd.net/schools/8043/Pages/default.aspx,Elementary,,,False,False,53.6120597,-113.5271951,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8060,Mary Hanley,3330 37 ST NW,T6L 5X1,7804612551,8060web@ecsd.net,http://www.maryhanley.ecsd.net,Elementary,,,False,False,53.463219,-113.3997381,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8013,St. Angela,13430 132A ST NW,T5L 1S3,7804559743,8013web@ecsd.net,https://www.ecsd.net/schools/8013/Pages/default.aspx,Elementary,,,False,False,53.5956607,-113.550417,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8022,St. Gerard,12415 85 ST NW,T5B 3H3,7804745208,8022web@ecsd.net,https://www.ecsd.net/schools/8022/Pages/default.aspx,Elementary,,,False,False,53.580503,-113.4704066,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
2266,Divine Mercy,2720 ORCHARDS ROAD SW,T6X 2N1,7806702941,2266web@ecsd.net,https://www.ecsd.net/2266,Elementary,,,False,False,53.40545324,-113.4530243,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8061,Good Shepherd,18111 57 AVE NW,T6M 1W1,7804444299,8061web@ecsd.net,https://www.ecsd.net/schools/8061/Pages/default.aspx,Elementary,,,False,False,53.4915674,-113.6357429,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8208,St. Alphonsus,11624 81 ST NW,T5B 2S2,7804772513,8208web@ecsd.net,http://www.stalphonsus.ecsd.net,Elementary,Junior,,False,False,53.567873,-113.4663814,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,,0,0,1,0
8041,St. Elizabeth,7712 36 AVE NW,T6K 1H7,7804627022,8041web@ecsd.net,https://www.ecsd.net/schools/8041/Pages/default.aspx,Elementary,,,False,False,53.4688012,-113.4514124,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8411,Holy Trinity,7007 28 AVE NW,T6K 4A5,7804625777,8411web@ecsd.net,http://www.holytrinity.ecsd.net,Senior,,,False,False,53.457223,-113.4428497,Catholic,10; 11; 12,Spanish Language and Culture,,1,0,0,0
8238,St. Kateri,3807 41 AVE NW,T6L 6M3,7804403322,8238web@ecsd.net,https://www.ecsd.net/schools/8238/Pages/default.aspx,Elementary,,,False,False,53.4763035,-113.4008081,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
2383,CCAC-Mill Woods,7630 38 AVENUE NW,T6K 2P1,7809442003,8412web@ecsd.net,https://www.ecsd.net/8412/page/1846/cardinal-collins-catholic-academic-centres,Outreach,,,False,False,53.47338095,-113.4518076,Catholic,9; 10; 11; 12,No Language Program,,0,0,0,0
8213,St. Cecilia,8830 132 AVE NW,T5E 0X8,7804767695,8213web@ecsd.net,http://www.stcecilia.ecsd.net,Junior,,,True,False,53.5926948,-113.4776964,Catholic,7; 8; 9,Spanish Language and Culture; French Immersion,,0,0,0,0
8016,St. Bernadette,11917 40 ST NW,T5W 2L1,7804744167,8016web@ecsd.net,https://www.ecsd.net/schools/8016/Pages/default.aspx,Elementary,,,False,False,53.5727199,-113.4023174,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8056,St. Richard,5704 MILL WOODS RD NW,T6L 3K9,7804635976,8056web@ecsd.net,https://www.ecsd.net/schools/8056/Pages/default.aspx,Elementary,,,False,False,53.4461174,-113.4277268,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,Green STEM Academy,0,0,0,0
8223,St. Nicholas,3643 115 AVE NW,T5W 0V1,7804743713,8223web@ecsd.net,http://www.stnicholas.ecsd.net,Junior,,,False,False,53.5673369,-113.3990201,Catholic,7; 8; 9,-No Language Program-,Science Academy; Soccer Academy,0,0,0,0
8050,St. Martha,7240 180 ST NW,T5T 3B1,7804874594,8050web@ecsd.net,https://www.ecsd.net/schools/8050/Pages/default.aspx,Elementary,,,False,False,53.5063346,-113.634696,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
1967,Bishop David Motiuk,855 Lewis Greens Drive NW,T5T 4B2,7804092603,1967web@ecsd.net,https://www.ecsd.net/schools/1967/Pages/default.aspx,Elementary,Junior,,False,False,53.529277,-113.678234,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,,1,0,0,0
8010,Our Lady of Peace,15911 110 AVE NW,T5P 1G2,7804891222,8010web@ecsd.net,https://www.ecsd.net/schools/8010/Pages/default.aspx,Elementary,,,False,False,53.5557046,-113.5952592,Catholic,K; 1; 2; 3; 4; 5; 6,Nehiyaw Pimatisiwin Cree,,0,0,1,0
1971,St. Thomas Aquinas,420 DESROCHERS BOULEVARD SW,T6W 3J4,7804092604,1971web@ecsd.net,https://www.ecsd.net/schools/1971/Pages/default.aspx,Elementary,Junior,,False,False,53.397826,-113.554431,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,No Language Program,,0,0,0,0
8036,St. Jerome,3310 107 AVE NW,T5W 0C7,7804795847,8036web@ecsd.net,https://www.ecsd.net/schools/8036/Pages/default.aspx,Elementary,,,False,False,53.5610428,-113.3928157,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,Science Academy,0,0,1,0
8403,Archbishop MacDonald,14219 109 AVE NW,T5N 1H5,7804511470,8403web@ecsd.net,http://www.archbishopmacdonald.ecsd.net,Senior,,,False,False,53.554163,-113.566291,Catholic,10; 11; 12,French Immersion; Spanish Language and Culture,,1,0,0,0
8039,St. Monica,14710 53 AVE NW,T6H 4C6,7804367888,8039web@ecsd.net,http://www.stmonica.ecsd.net,Elementary,,,False,False,53.4909429,-113.5741433,Catholic,['N/A'],-No Language Program-,,0,0,0,0
1429,Monsignor Fee Otterson,1834 RUTHERFORD RD SW,T6W 0N5,7804308015,1429web@ecsd.net,http://www.monsignorfeeotterson.ecsd.net/,Elementary,Junior,,False,False,53.418459,-113.521557,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,,0,0,0,0
8232,St. Benedict,18015 93 AVE NW,T5T 1X5,7804872733,8232web@ecsd.net,http://www.stbenedict.ecsd.net,Elementary,,,False,False,53.5261888,-113.6335446,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,Hockey Academy,0,0,0,0
8217,St. Gabriel,5540 106 AVE NW,T6A 1G3,7804660220,8217web@ecsd.net,http://www.stgabriel.ecsd.net,Elementary,,,False,False,53.5510139,-113.4242508,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8003,Father Leo Green,7512 144 AVE NW,T5C 2R7,7804760606,8003web@ecsd.net,https://www.ecsd.net/schools/8003/Pages/default.aspx,Elementary,,,True,True,53.6076026,-113.4560058,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion; Spanish Bilingual,,0,0,0,0
8034,St. Vladimir,7510 132 AVE NW,T5C 2A9,7804764613,8034web@ecsd.net,https://www.ecsd.net/schools/8034/Pages/default.aspx,Elementary,,,False,False,53.5927308,-113.4562651,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8054,St. Bonaventure,3004 139 AVE NW,T5Y 1R9,7804767257,8054web@ecsd.net,https://www.ecsd.net/schools/8054/Pages/default.aspx,Elementary,,,False,False,53.6033109,-113.3887423,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8024,St. John Bosco,7411 161A AVE NW,T5Z 3V4,7804713140,8024web@ecsd.net,http://www.stjohnbosco.ecsd.net,Elementary,,,False,False,53.6218484,-113.4574732,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
1973,Corpus Christi,460 Watt Boulevard SW,T6X 1P6,7804092606,1973web@ecsd.net,https://www.ecsd.net/schools/1973/Pages/default.aspx,Elementary,Junior,,False,False,53.420362,-113.429453,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,No Language Program,,0,0,0,0
8053,John Paul I,5675 38 AVE NW,T6L 2Z1,7804626448,8053web@ecsd.net,http://www.johnpauli.ecsd.net,Elementary,,,False,True,53.4719661,-113.4262808,Catholic,K; 1; 2; 3; 4; 5; 6,Spanish Bilingual,,0,0,0,0
2382,CCAC-Clareview,3802 139 AVE NW,T5Y 3G4,7809442002,8412web@ecsd.net,https://www.ecsd.net/8412/page/1846/cardinal-collins-catholic-academic-centres,Outreach,,,False,False,53.60139704,-113.4020298,Catholic,9; 10; 11; 12,No Language Program,,0,0,0,0
8220,St. Leo,5412 121 AVE NW,T5W 1N9,7804773372,8220web@ecsd.net,https://www.ecsd.net/schools/8220/Pages/default.aspx,Elementary,,,False,False,53.5755282,-113.4253767,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
1427,Sister Annata Brockman,355 HEMINGWAY RD NW,T6M 0L7,7804440250,1427web@ecsd.net,http://www.sisterannatabrockman.ecsd.net/,Elementary,Junior,,False,False,53.489526,-113.679528,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,Filipino Language and Culture,,0,0,0,0
8227,St. Rose,8815 145 ST NW,T5R 0T7,7804832695,8227web@ecsd.net,http://www.strose.ecsd.net,Junior,,,False,False,53.5212351,-113.5697056,Catholic,7; 8; 9,Spanish Language and Culture,,0,0,0,0
8011,Our Lady of Victories,7925 158 ST NW,T5R 2B9,7804897630,8011web@ecsd.net,http://www.ourladyofvictories.ecsd.net,Elementary,,,False,False,53.5149225,-113.5947215,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,0,0
8234,Holy Family,1710 MILL WOODS RD NW,T6L 5C5,7804638858,8234web@ecsd.net,https://www.ecsd.net/schools/8234/Pages/default.aspx,Elementary,Junior,,False,False,53.4464748,-113.4030003,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,Enhanced Academic Program (EAP),0,0,0,0
8057,St. Charles,10423 172 AVE NW,T5X 4X4,7804565222,8057web@ecsd.net,https://www.ecsd.net/schools/8057/Pages/default.aspx,Elementary,,,False,False,53.6328169,-113.5033571,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8004,H.E. Beriault,8125 167 ST NW,T5R 2T7,7804895490,8004web@ecsd.net,https://www.ecsd.net/schools/8004/Pages/default.aspx,Junior,,,False,False,53.5155954,-113.6087138,Catholic,7; 8; 9,-No Language Program-,Enhanced Academic Program (EAP),0,0,0,0
8059,Bishop Greschuk,17330 91 ST NW,T5Z 3A1,7804722937,8059web@ecsd.net,http://www.bishopgreschuk.ecsd.net,Elementary,,,False,False,53.6350632,-113.4805934,Catholic,K; 1; 2; 3; 4; 5; 6,No Language Program,,0,0,0,0
8221,St. Mark,11625 125 ST NW,T5M 1L1,7804551684,8221web@ecsd.net,http://www.stmark.ecsd.net,Junior,,,False,False,53.5674241,-113.553941,Catholic,7; 8; 9,-No Language Program-,Recreation Academy,0,0,0,0
8215,St. Edmund,11712 130 AVE NW,T5E 0V2,7804531596,8215web@ecsd.net,http://www.stedmund.ecsd.net,Elementary,Junior,,False,False,53.5903344,-113.52482,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,Hockey Academy; Recreation Academy; Soccer Academy,1,0,0,0
8428,St. Oscar Romero,17760 69 AVE NW,T5T 6X3,7804282705,8428web@ecsd.net,https://www.ecsd.net/schools/1028/Pages/default.aspx,Senior,,,False,False,53.5041389,-113.6299034,Catholic,10; 11; 12,Filipino Language and Culture; Spanish Language and Culture,,0,1,0,0
1428,Monsignor William Irwin,2629 TAYLOR GREEN NW,T6R 3N8,7804301121,1428web@ecsd.net,https://www.ecsd.net/SCHOOLS/1428/Pages/default.aspx,Elementary,,,True,False,53.4473827,-113.5763004,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion,,0,0,0,0
2435,Joan Carr,1140 KESWICK DRIVE SW,T6W 4J4,7806702944,2435web@ecsd.net,https://www.ecsd.net/2435,Elementary,Junior,,False,False,53.4167618,-113.6211216,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,No Language Program,,0,0,0,0
8018,St. Boniface,11810 40 AVE NW,T6J 0R9,7804340294,8018web@ecsd.net,http://www.stboniface.ecsd.net,Elementary,,,False,False,53.4767854,-113.5373855,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,1,0,0,0
1968,Father Michael Mireau,3010 Spence,T6X 0H9,7804092602,1968web@ecsd.net,https://www.ecsd.net/schools/1968/Pages/default.aspx,Elementary,Junior,,False,False,53.420272,-113.463535,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,No Language Program,,0,0,0,0
8404,Archbishop O'Leary,8760 132 AVE NW,T5E 0X8,7804766251,8404web@ecsd.net,http://www.archbishopoleary.ecsd.net,Senior,,,False,False,53.5928729,-113.4751525,Catholic,10; 11; 12,Italian Language and Culture; Spanish Language and Culture,Soccer Academy,0,1,0,0
8029,St. Matthew,8735 132 AVE NW,T5E 0X7,7804736575,8029web@ecsd.net,http://www.stmatthew.ecsd.net,Elementary,,,False,False,53.5918116,-113.4752341,Catholic,K; 1; 2; 3; 4; 5; 6,Ukrainian Bilingual,,0,0,1,0
8229,St. Vincent,10530 138 ST NW,T5N 2J6,7804524474,8229web@ecsd.net,http://www.stvincent.ecsd.net,Elementary,,,False,False,53.5484167,-113.5604677,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,Green STEM Academy,0,0,0,0
8038,St. Augustine,3808 106 ST NW,T6J 1A5,7804354949,8038web@ecsd.net,http://www.staugustine.ecsd.net,Elementary,,,False,False,53.4737471,-113.5053372,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
1972,Christ the King,180 McConachie Drive NW,T5Y 0K9,7804092605,1972web@ecsd.net,https://www.ecsd.net/schools/1972/Pages/default.aspx,Elementary,Junior,,False,False,53.632646,-113.42364,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,No Language Program,,0,0,0,0
1969,St. John XXIII,365 Windermere RD NW,T6W 0V9,7804692451,1969web@ecsd.net,https://www.ecsd.net/schools/1969/Pages/default.aspx,Elementary,Junior,,True,False,53.441658,-113.612185,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,French Immersion,,0,0,0,0
8216,St. Francis of Assisi,6614 129 AVE NW,T5C 1V7,7804767634,8216web@ecsd.net,https://www.ecsd.net/schools/8216/Pages/default.aspx,Elementary,,,False,False,53.5882068,-113.4438788,Catholic,K; 1; 2; 3; 4; 5; 6,Nehiyaw Pimatisiwin Cree,,0,0,1,0
8027,St. Teresa of Calcutta,9008 105A AVE NW,T5H 4P9,7804713631,1027web@ecsd.net,https://www.ecsd.net/schools/1027/Pages/default.aspx,Elementary,,,False,False,53.5522131,-113.475699,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8225,St. Paul,14410 96 AVE NW,T5N 0C7,7804521510,8225web@ecsd.net,https://www.ecsd.net/schools/8225/Pages/default.aspx/,Elementary,,,False,False,53.5331863,-113.5719435,Catholic,K; 1; 2; 3; 4; 5; 6,Spanish Language and Culture,,0,0,0,0
